iter	Passed	Remaining
0	153	153009
1	158	79203
2	161	53810
3	164	40971
4	166	33184
5	169	28115
6	171	24331
7	173	21505
8	174	19259
9	176	17466
10	177	15991
11	179	14764
12	180	13724
13	182	12858
14	183	12078
15	185	11389
16	186	10770
17	187	10217
18	188	9730
19	189	9286
20	190	8884
21	191	8518
22	192	8179
23	193	7871
24	194	7601
25	196	7370
26	197	7129
27	198	6904
28	199	6692
29	200	6492
30	201	6309
31	202	6138
32	203	5976
33	204	5822
34	205	5677
35	207	5543
36	207	5413
37	209	5301
38	210	5195
39	211	5084
40	212	4979
41	217	4957
42	220	4906
43	223	4852
44	225	4787
45	227	4717
46	229	4657
47	231	4591
48	233	4527
49	235	4468
50	236	4408
51	238	4345
52	239	4283
53	241	4223
54	242	4166
55	243	4106
56	244	4049
57	245	3993
58	247	3940
59	248	3888
60	249	3839
61	250	3790
62	251	3743
63	252	3697
64	253	3650
65	254	3604
66	255	3560
67	256	3521
68	257	3479
69	258	3440
70	260	3402
71	261	3365
72	262	3328
73	263	3293
74	264	3263
75	265	3232
76	266	3199
77	267	3167
78	269	3137
79	270	3105
80	271	3075
81	272	3046
82	272	3012
83	273	2984
84	274	2956
85	275	2929
86	276	2902
87	277	2877
88	279	2856
89	280	2835
90	281	2812
91	282	2791
92	283	2768
93	284	2745
94	285	2724
95	286	2702
96	287	2681
97	289	2660
98	290	2640
99	291	2621
100	292	2603
101	293	2588
102	295	2572
103	296	2553
104	297	2535
105	298	2517
106	299	2500
107	300	2484
108	301	2468
109	303	2451
110	304	2436
111	305	2420
112	306	2406
113	307	2393
114	309	2380
115	310	2366
116	311	2350
117	312	2336
118	313	2321
119	314	2307
120	315	2293
121	316	2278
122	317	2264
123	318	2250
124	319	2236
125	320	2224
126	321	2210
127	323	2202
128	324	2191
129	325	2178
130	326	2166
131	327	2154
132	328	2143
133	330	2132
134	331	2121
135	332	2111
136	333	2100
137	334	2089
138	335	2079
139	337	2071
140	338	2062
141	339	2050
142	340	2041
143	341	2031
144	342	2021
145	344	2012
146	345	2003
147	346	1993
148	347	1984
149	348	1975
150	349	1966
151	350	1957
152	352	1950
153	353	1942
154	354	1934
155	356	1926
156	357	1917
157	358	1910
158	359	1902
159	360	1894
160	361	1884
161	362	1877
162	363	1868
163	365	1861
164	366	1857
165	368	1852
166	370	1846
167	371	1839
168	372	1832
169	373	1825
170	375	1818
171	376	1811
172	377	1805
173	378	1798
174	380	1791
175	381	1787
176	383	1783
177	384	1776
178	385	1770
179	387	1764
180	388	1758
181	389	1752
182	391	1746
183	392	1740
184	393	1733
185	394	1728
186	396	1722
187	398	1719
188	399	1715
189	401	1711
190	402	1706
191	404	1701
192	405	1696
193	407	1691
194	408	1685
195	409	1679
196	411	1676
197	412	1672
198	414	1667
199	415	1662
200	416	1657
201	418	1651
202	419	1646
203	420	1641
204	421	1635
205	423	1630
206	424	1625
207	426	1622
208	427	1618
209	428	1613
210	430	1609
211	431	1604
212	432	1599
213	434	1594
214	435	1589
215	436	1585
216	438	1580
217	439	1575
218	441	1573
219	442	1570
220	444	1565
221	445	1561
222	446	1556
223	448	1552
224	449	1547
225	450	1542
226	451	1538
227	452	1533
228	454	1531
229	456	1528
230	457	1524
231	459	1519
232	460	1515
233	461	1511
234	463	1507
235	464	1503
236	465	1498
237	466	1494
238	467	1489
239	469	1485
240	471	1483
241	472	1480
242	473	1476
243	476	1477
244	478	1474
245	479	1469
246	480	1465
247	481	1461
248	483	1457
249	484	1453
250	486	1451
251	487	1447
252	488	1443
253	490	1440
254	491	1436
255	493	1433
256	494	1429
257	495	1425
258	497	1422
259	498	1418
260	500	1416
261	501	1413
262	503	1410
263	504	1407
264	506	1403
265	507	1400
266	508	1397
267	510	1394
268	511	1390
269	513	1387
270	515	1385
271	516	1382
272	518	1379
273	519	1376
274	521	1374
275	522	1371
276	524	1369
277	525	1366
278	527	1362
279	529	1361
280	531	1359
281	532	1356
282	534	1353
283	535	1349
284	536	1346
285	537	1342
286	538	1338
287	540	1335
288	541	1331
289	542	1328
290	544	1327
291	546	1325
292	547	1321
293	549	1318
294	550	1315
295	551	1311
296	552	1308
297	554	1305
298	555	1302
299	556	1298
300	558	1295
301	559	1293
302	561	1290
303	562	1287
304	563	1284
305	564	1281
306	568	1282
307	569	1279
308	570	1276
309	572	1273
310	574	1273
311	576	1270
312	577	1267
313	578	1264
314	580	1261
315	581	1258
316	582	1255
317	584	1252
318	585	1249
319	586	1246
320	590	1249
321	593	1248
322	594	1245
323	595	1242
324	596	1239
325	598	1236
326	599	1233
327	600	1230
328	601	1227
329	604	1227
330	606	1225
331	608	1224
332	611	1224
333	612	1222
334	614	1219
335	615	1216
336	617	1214
337	618	1211
338	620	1209
339	621	1207
340	623	1204
341	624	1201
342	625	1198
343	627	1196
344	628	1194
345	630	1190
346	631	1187
347	632	1185
348	634	1183
349	635	1180
350	636	1177
351	638	1174
352	639	1171
353	640	1168
354	641	1165
355	642	1162
356	643	1159
357	645	1156
358	646	1154
359	647	1151
360	649	1149
361	650	1146
362	651	1143
363	653	1141
364	654	1138
365	655	1136
366	657	1133
367	658	1131
368	659	1128
369	661	1125
370	662	1123
371	664	1121
372	665	1118
373	666	1115
374	667	1112
375	668	1109
376	669	1106
377	670	1104
378	672	1101
379	673	1098
380	674	1095
381	675	1093
382	677	1090
383	678	1088
384	680	1086
385	681	1084
386	682	1081
387	683	1078
388	685	1076
389	686	1073
390	687	1071
391	688	1068
392	690	1065
393	691	1063
394	693	1061
395	694	1059
396	695	1056
397	697	1054
398	698	1051
399	699	1049
400	700	1047
401	702	1044
402	703	1042
403	704	1039
404	705	1037
405	708	1036
406	709	1034
407	710	1031
408	712	1029
409	713	1026
410	714	1024
411	715	1021
412	716	1019
413	718	1016
414	719	1014
415	720	1011
416	724	1012
417	726	1010
418	727	1008
419	728	1006
420	729	1003
421	730	1001
422	732	998
423	733	996
424	734	993
425	735	991
426	737	989
427	738	987
428	740	985
429	741	982
430	742	980
431	743	978
432	745	975
433	746	973
434	747	971
435	748	968
436	750	967
437	752	965
438	753	962
439	754	960
440	756	958
441	757	956
442	759	954
443	760	952
444	761	950
445	763	947
446	766	947
447	767	945
448	768	943
449	769	941
450	771	938
451	772	936
452	773	934
453	774	931
454	776	929
455	777	927
456	778	925
457	782	926
458	783	923
459	784	921
460	786	919
461	787	917
462	788	915
463	790	913
464	791	911
465	793	908
466	795	907
467	796	905
468	798	903
469	799	901
470	800	899
471	802	897
472	803	894
473	804	892
474	805	890
